id,nombre,codigo_nif,localidad,trabajadores,roe,roa,valor_agregado,ingresos_explotacion_empleado,ingresos_explotacion,resultado_ejercicio,total_activo,valoracion,n_valoraciones,esta_trip,total_visits_similar,ratio_resenas_visitas,valoracion_ponderada,stem_zon_de_lectur,stem_curs_de_cocin,stem_solarium,stem_intang,stem_gimnasi,stem_enovisit,stem_piscin,stem_alquil,stem_hospedaj,stem_indic_geograf_proteg,stem_festival,stem_interior,stem_sombrill,stem_jardin,stem_decor,stem_lectur,stem_dop,stem_suit,stem_hotel,stem_huesp,stem_estanci,stem_comedor,stem_bibliotec,stem_masaj,stem_igp,stem_menus,stem_rehabilit,stem_curs,stem_play,stem_zon_comun
261,BODEGAS PALACIOS REMONDO SA,A26057554,ALFARO,20,20.398,14.972,2746.257309,308.449537,6168.99074,1291.445319,11123.09489,4.3,3,0,6500,4.6153846153846153e-4,1.4333333333333333,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,0
1509,CELLER CAL COSTAS SL,B60916640,FONT-RUBI,5,14.217,9.777,281.61718,101.961946,509.80973,111.91183,1144.7812,NA,NA,0,6000,NA,NA,0,0,0,0,0,0,0,2,0,0,0,3,0,4,0,0,0,0,2,0,9,0,0,1,0,1,0,5,0,0
2030,ESTEVEZ BODEGAS Y VIÑEDOS SOCIEDAD LIMITADA.,B24680381,VILLAFRANCA DEL BIERZO,4,-4.177,0.868,149.41323,62.586792,250.34717,8.32277,1278.22573,4.7,12,0,307,0.03908794788273615,0.39166666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,ADEGA ALGUEIRA SL,B27233014,SOBER,11,16.636,5.902,439.91451,81.575637,897.33201,55.651869,1662.91817,4.6,512,1,5200,0.09846153846153846,0.008984375,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,1,0,3,0,0
3290,VITIS TERRARUM SL.,B82578659,MADRID,2,-1.724,-1.651,16.42995,12.08861,24.17722,-5.48842,442.65984,NA,NA,0,338,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
242,BODEGUES SUMARROCA SL,B08807158,SUBIRATS,29,4.124,2.604,2533.135019,232.453505,6741.15167,287.8801,22806.92045,4.2,164,1,1800,0.09111111111111111,0.025609756097560978,0,0,0,0,0,0,0,1,0,0,5,11,0,6,1,0,0,1,3,0,84,0,0,22,2,3,2,6,0,0
513,AMESGUREN SL,B20821831,GETARIA,29,13.118,8.216,1711.45182,106.254705,3081.386449,326.04553,4638.76088,NA,NA,0,3700,NA,NA,12,0,0,0,0,0,0,0,0,0,1,0,65,0,4,16,0,48,0,4,10,12,0,0,0,0,0,0,4,4
1841,BODEGAS EL MIRADORIO DE RUILOBA SL.,B39813050,RUILOBA,4,21.508,8.868,156.620949,81.54287,326.17148,43.18307,593.09437,4.6,263,1,3600,0.07305555555555555,0.017490494296577945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0
2422,CELLER PRIVAT S.L.,B62933825,PERALADA,3,-15.042,-14.231,-51.662649,47.420679,142.262039,-139.95876,1308.67115,NA,NA,0,16800,NA,NA,0,0,0,0,0,0,0,0,4,0,430,5,0,453,0,9,0,2,60,5,79,1,76,4,0,4,1,2,0,0
2366,MAISU TXAKOLINA SOCIEDAD LIMITADA.,B95745170,URDUÑA/ORDUÑA,13,39.014,23.848,100.73128,12.0061,156.07931,53.90418,264.052729,NA,NA,0,2200,NA,NA,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,10,0,0,0,0
1716,CARA NORD CELLER SL.,B25748054,EL VILOSELL,1,15.309,12.394,51.06308,81.945485,383.47961,35.6376,380.17124,4.8,8,0,4300,0.0018604651162790699,0.6,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,14,0,0,5,0,52,0,0,0,0,1,0,5,0,0
2525,GENIUM CELLER SL,B43708742,POBOLEDA,4,23.959,8.004,11.33328,26.043983,120.54532,8.09708,135.51894,4.4,5,0,300,0.016666666666666666,0.8800000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,16,0,0,0,0,0,0,0,0,0
2148,BODEGAS CAUDALIA SL,B26475384,NAJERA,1,16.384,6.285,88.84825,210.70522,210.70522,21.94192,481.74741,NA,NA,0,6000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,BODEGAS VITALIS SL.,B24633828,VILLAMAÑAN,3,6.505,1.304,149.18422,105.099256,315.29777,7.220019,1006.28365,4.6,209,1,3700,0.056486486486486485,0.02200956937799043,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0
682,BODEGAS Y VIÑEDOS ILLANA SL,B16211997,POZOAMARGO,6,-2.021,-0.774,530.65208,362.070244,2172.421469,-93.12785,6704.97751,4.3,20,0,2400,0.008333333333333333,0.215,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,3,0,2,0,0,2,0,0,0,0,0,1,0,0
1902,BODEGAS RUBERTE SOCIEDAD LIMITADA.,B99362972,MAGALLON,5,0.44,1.48,170.27196,60.324698,301.62349,0.136039,1079.9929,4.4,36,0,NA,NA,0.12222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0
469,BODEGA LA SOTERRAÑA SL,B47563721,OLMEDO,11,10.338,5.914,909.564749,317.984561,3497.83018,239.15971,5364.62496,4.7,52,1,1800,0.028888888888888888,0.09038461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2644,BODEGAS CONTRERAS SL,B73245441,LORCA,1,-10.565,-4.823,11.89477,98.10576,98.10576,-34.14189,912.29677,4.4,36,0,389,0.09254498714652956,0.12222222222222223,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,BODEGAS LOPEZ MORENAS SL,B06592547,FUENTE DEL MAESTRE,42,2.096,1.924,3107.537,194.017095,8148.718,155.263,17821.71,NA,NA,0,3000,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,215,0,0,0,0,51,0,0,0,4,0,0,1,0,0
